                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62449,                 0.5579,                 1.0222,                0.99063,                0.94315,                0.99001,                0.85756,                0.58949,                0.47785,                0.91708,             0.00074186,             0.00074186,             0.00074186
                     37,                0.62725,                0.56005,                 1.0105,                0.99045,                0.94802,                0.98864,                0.88686,                0.52283,                0.46191,                0.88829,             0.00072164,             0.00072164,             0.00072164
                     38,                0.63309,                0.56299,                 1.0262,                0.99434,                 0.9372,                0.99135,                0.89028,                0.50301,                0.41569,                0.86887,             0.00070143,             0.00070143,             0.00070143
                     39,                0.63901,                0.56958,                 1.0236,                0.98071,                0.97377,                0.99373,                0.89692,                0.49822,                0.41628,                0.86745,             0.00068122,             0.00068122,             0.00068122
                     40,                0.62536,                0.54938,                 1.0074,                0.98934,                  0.981,                0.99347,                0.90194,                0.47769,                0.40846,                0.86522,             0.00066101,             0.00066101,             0.00066101
                     41,                0.59923,                0.53611,                 1.0053,                0.96522,                 0.9807,                0.99355,                0.88749,                0.51326,                0.42884,                0.87117,              0.0006408,              0.0006408,              0.0006408
                     42,                0.61803,                0.54101,                 1.0057,                 0.9788,                0.97169,                0.99229,                0.87702,                 0.5164,                0.42546,                0.87222,             0.00062059,             0.00062059,             0.00062059
                     43,                0.60525,                 0.5287,                 1.0074,                0.98816,                0.94185,                0.98201,                0.89234,                0.46958,                0.38763,                0.85742,             0.00060038,             0.00060038,             0.00060038
                     44,                0.60739,                 0.5408,                 1.0111,                 0.9918,                 0.9465,                0.99166,                0.89918,                0.48283,                0.41912,                0.86329,             0.00058017,             0.00058017,             0.00058017
                     45,                 0.5896,                0.53771,                 1.0002,                0.99083,                0.95517,                0.98792,                0.89164,                0.49284,                0.41156,                0.86743,             0.00055996,             0.00055996,             0.00055996
                     46,                0.60029,                0.50885,                 1.0047,                0.97731,                0.97815,                0.99381,                0.90481,                0.47693,                0.39138,                0.86348,             0.00053975,             0.00053975,             0.00053975
                     47,                0.57471,                0.53067,                0.99412,                0.98259,                 0.9902,                0.99476,                0.90345,                0.47559,                0.36299,                0.86392,             0.00051954,             0.00051954,             0.00051954
                     48,                0.60177,                0.51092,                 1.0012,                0.97756,                0.96679,                0.99234,                0.89892,                0.46919,                0.36233,                0.85769,             0.00049933,             0.00049933,             0.00049933
                     49,                0.60134,                0.50899,                 1.0086,                0.99004,                0.95394,                0.99072,                0.89575,                0.48186,                0.37074,                0.85691,             0.00047912,             0.00047912,             0.00047912
                     50,                0.58822,                0.52049,                 1.0044,                0.98509,                0.97209,                 0.9937,                0.90828,                0.46305,                0.36655,                0.85182,             0.00045891,             0.00045891,             0.00045891
