                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3818,                 3.8938,                 1.3148,                0.02319,                0.88077,                0.31499,                0.18807,                0.81936,                 3.5273,                0.93969,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.1234,                 3.1135,                 1.1734,                0.64506,                0.50806,                0.58983,                0.42294,                0.95787,                 2.5594,                 0.9839,             0.00061122,             0.00061122,             0.00061122
                      3,                  1.121,                 2.2969,                 1.1126,                 0.7602,                0.52247,                0.69044,                 0.4762,                 1.1842,                 2.1217,                 1.0902,             0.00087552,             0.00087552,             0.00087552
                      4,                 1.1081,                 1.7399,                 1.0877,                0.88085,                0.78603,                0.90976,                0.65524,                 1.2036,                 1.4724,                 1.1098,              0.0011073,              0.0011073,              0.0011073
                      5,                 1.0571,                 1.3724,                  1.078,                0.70113,                0.73666,                0.84435,                0.62251,                 1.0295,                 1.3538,                 1.0342,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.0026,                 1.2091,                 1.0541,                0.87613,                0.80813,                0.88558,                0.67188,                0.91838,                0.93377,                 1.0155,              0.0011461,              0.0011461,              0.0011461
                      7,                0.92376,                 1.0902,                 1.0437,                0.92666,                0.86058,                0.89598,                0.69884,                0.87385,                0.79427,                0.99945,              0.0010753,              0.0010753,              0.0010753
                      8,                0.88372,                0.98422,                 1.0336,                0.95649,                0.85616,                0.89863,                0.72353,                0.79833,                0.71654,                0.98163,              0.0010046,              0.0010046,              0.0010046
                      9,                0.87202,                0.91075,                 1.0315,                0.94326,                0.86566,                0.90255,                0.73348,                0.76123,                0.69913,                0.97838,             0.00093385,             0.00093385,             0.00093385
                     10,                0.87615,                0.90299,                 1.0247,                0.96124,                 0.8653,                0.90132,                0.75016,                0.72236,                0.65556,                0.97406,             0.00086312,             0.00086312,             0.00086312
                     11,                0.65858,                0.73736,                 1.0209,                0.90904,                0.80884,                0.89513,                0.75196,                 0.7445,                0.93413,                0.98766,             0.00079238,             0.00079238,             0.00079238
                     12,                0.62591,                0.65137,                 0.9961,                0.93467,                0.85391,                0.90723,                 0.7497,                0.73444,                 1.2068,                0.97366,             0.00072164,             0.00072164,             0.00072164
                     13,                 0.6059,                0.66805,                0.97178,                0.95818,                 0.8754,                0.92513,                0.78507,                0.64779,                 0.9989,                0.93457,             0.00065091,             0.00065091,             0.00065091
                     14,                0.55893,                0.59125,                0.95626,                0.96958,                0.86162,                0.90631,                0.76195,                0.70155,                 0.8547,                0.95786,             0.00058017,             0.00058017,             0.00058017
                     15,                0.54753,                0.56317,                0.96076,                0.96037,                0.88373,                 0.9162,                0.79493,                0.61532,                0.67952,                0.92057,             0.00050944,             0.00050944,             0.00050944
                     16,                0.51431,                0.50893,                 0.9595,                0.98685,                0.88258,                0.90856,                0.76961,                0.66442,                 0.6615,                 0.9368,              0.0004387,              0.0004387,              0.0004387
                     17,                0.51226,                0.51318,                0.94646,                0.97866,                 0.8939,                 0.9297,                 0.8142,                0.59526,                0.60425,                0.90626,             0.00036797,             0.00036797,             0.00036797
                     18,                0.49025,                0.49658,                0.94513,                0.97149,                0.91065,                 0.9469,                0.82607,                0.58902,                0.57339,                0.90479,             0.00029723,             0.00029723,             0.00029723
                     19,                0.49957,                0.49357,                0.94355,                0.97143,                0.92095,                0.95405,                0.83049,                0.57699,                0.58483,                0.90238,              0.0002265,              0.0002265,              0.0002265
                     20,                0.47535,                0.47468,                0.93118,                 0.9737,                 0.9241,                0.95258,                0.83105,                0.57739,                0.56897,                0.90094,             0.00015576,             0.00015576,             0.00015576
